,county,fips,value (percent),households (with >1 person per room),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (education: less than 9th grade),people(education: less than high school),people (education: at least bachelors degree),value (dollars),people (uninsured),households (language isolation),people (haven't moved),people (moved within county),people (moved from different county in same state),people (moved from different state),people (moved from outside us),people (age under 18),people (age 18-39),people (age 40-64),people (age 40 and over),people (age 50 and over),people (age 65 and over),people (ai/an),people (api),people (black),people (foreign born),people (hispanic),people (non-hispanic [origin recode]),people (white),people (female),people (male),families (below poverty),people (below poverty),people (<150% of poverty),people (unemployed)
70,Franklin County,13119.0,2.1,175.0,1396 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Dooly County,13093.0,2.1,109.0,1389 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Haralson County,13143.0,2.1,233.0,1387 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Dodge County,13091.0,2.1,166.0,1385 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Macon County,13193.0,2.1,98.0,1374 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Wilkinson County,13319.0,2.1,70.0,1370 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Camden County,13039.0,2.2,407.0,1346 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Wilcox County,13315.0,2.2,58.0,1331 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Barrow County,13013.0,2.2,535.0,1320 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Carroll County,13045.0,2.2,899.0,1313 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pike County,13231.0,2.2,131.0,1305 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Muscogee County,13215.0,2.2,1611.0,1300 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dade County,13083.0,2.2,135.0,1284 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Marion County,13197.0,2.2,73.0,1258 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Montgomery County,13209.0,2.2,69.0,1254 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Effingham County,13103.0,2.3,441.0,1242 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Schley County,13249.0,2.3,44.0,1213 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Tift County,13277.0,2.3,344.0,1207 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Coffee County,13069.0,2.3,329.0,1205 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Spalding County,13255.0,2.3,541.0,1196 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Rabun County,13241.0,2.3,151.0,1180 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Laurens County,13175.0,2.4,413.0,1133 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bulloch County,13031.0,2.4,635.0,1122 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Glynn County,13127.0,2.4,792.0,1121 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Clarke County,13059.0,2.4,1121.0,1092 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Upson County,13293.0,2.5,253.0,1053 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Gilmer County,13123.0,2.5,283.0,1050 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rockdale County,13247.0,2.5,740.0,1047 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Meriwether County,13199.0,2.5,202.0,1027 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Terrell County,13273.0,2.5,82.0,1026 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Jefferson County,13163.0,2.5,146.0,1007 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Taliaferro County,13265.0,2.5,18.0,993 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Wayne County,13305.0,2.5,263.0,991 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,DeKalb County,13089.0,2.6,7019.0,974 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Burke County,13033.0,2.6,207.0,972 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Thomas County,13275.0,2.6,444.0,965 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Floyd County,13115.0,2.6,922.0,956 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Banks County,13011.0,2.6,169.0,955 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Lincoln County,13181.0,2.6,90.0,947 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,McDuffie County,13189.0,2.6,214.0,941 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Bartow County,13015.0,2.7,984.0,926 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Lowndes County,13185.0,2.7,1070.0,922 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Bacon County,13005.0,2.7,106.0,920 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Johnson County,13167.0,2.7,88.0,889 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Madison County,13195.0,2.7,286.0,880 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Evans County,13109.0,2.8,111.0,845 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Brantley County,13025.0,2.8,185.0,835 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Crisp County,13081.0,2.8,233.0,824 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Mitchell County,13205.0,2.8,226.0,812 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Wheeler County,13309.0,2.8,56.0,803 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sumter County,13261.0,2.9,345.0,780 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Gwinnett County,13135.0,2.9,8348.0,767 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Dougherty County,13095.0,3.0,1028.0,764 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Houston County,13153.0,3.0,1635.0,761 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Stephens County,13257.0,3.0,283.0,738 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Talbot County,13263.0,3.1,86.0,704 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Grady County,13131.0,3.1,280.0,699 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Crawford County,13079.0,3.1,146.0,687 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
